503,CERVANTES GALERIA,,,,,,,,0
504,"COMERCIALIZADORA FER-BOR, S.A. DE C.V.",,,,,,,,0
505,COMERCIALIZAD. Y SERVICIOS PROFESIONALES,,,,,,,,0
506,ECONOMUSIC,,,,,,,,0
507,"FOTO IMAGEN DE MEXICO, S.A.",,,,,,,,0
508,GFP ASESORIA Y DESARROLLO DE SIST.INFORM,,,,,,,,0
509,GUMAR COMERCIAL,,,,,,,,0
510,"MARQUEZ ESCOBAR HNOS., S.A. DE C.V.",,,,,,,,0
511,MULTISIST. INTEGRALES EN COMUNICACIONES,,,,,,,,0
512,OFFICE DEPOT DE MEXICO,,,,,,,,0
513,"OPERADORA OMX, S.A. DE C.V.",,,,,,,,0
514,SERVICIOS PROFESIONALES EN INFORMATICA,,,,,,,,0
515,SISTEMAS DE COMUNICAC. SIDECOM,,,,,,,,0
516,"SOFTYCOM, S.A. DE C.V.",,,,,,,,0
517,"TECNOPLAY, S.A. DE C.V.",,,,,,,,0
518,CENTRO DE FOTOCOPIADO MEGA MC  COPIAS,DIEGO LEÑO NO. 24 LOCAL 1 COL. CENTRO,XALAPA VER.,,FECR-580704-9Z4,,,,0
519,CREOS CREANDO SOLUCIONES,,,,,,,,0
520,"COMPAÑIA MUEBLERA ESCOLAR, S.A. DE C.V.",,,,,,,,0
521,ALFHER PORCEWOL S.A. DE C.V.,,,,,,,,0
522,GRUPO LOGISA S.A. DE C.V.,,,,,,,,0
523,"TECHNIDATA, S.A. DE C.V.",,,,,,,,0
524,"MUEBLES Y EQUIPOS DEL GOLFO, S.A. DE C.",,,,,,,,0
525,"ACTA NO. 82  USO, GOCE Y POSESION",,,,,,,,0
526,"ACTA NO. 75  USO, GOCE Y POSESION",,,,,,,,0
527,"ACTA NO. 76  USO, GOCE Y POSESION",,,,,,,,0
528,"ACTA NO. 94  USO, GOCE Y POSESION",,,,,,,,0
529,"ACTA NO. 72  USO, GOCE Y POSESION",,,,,,,,0
530,"ACTA NO. 78  USO, GOCE Y POSESION",,,,,,,,0
531,"ACTA NO. 79  USO, GOCE Y POSESION",,,,,,,,0
532,"ACTA NO. 80  USO, GOCE Y POSESION",,,,,,,,0
533,"ACTA NO. 81  USO, GOCE Y POSESION",,,,,,,,0
534,"ACTA NO. 83  USO, GOCE Y POSESION",,,,,,,,0
535,"ACTA NO. 93  USO, GOCE Y POSESION",,,,,,,,0
536,"ACTA NO. 98  USO, GOCE Y POSESION",,,,,,,,0
537,COMERCIALIZADORA XALLAPAN,,,,,,,,0
538,"AUTOS COMPACTOS DE QUERETARO, S.A. DE C.",AV. CONSTITUYENTES OTE. No. 117,QUERETARO,76050,ACQ980113CL5,4422130195,,,0
539,MANUEL PEREZ CASTRILLO,,,,,,,,0
540,"GRUPO LADESI, S.A. DE C.V.",,,,,,,,0
541,"ACTA NO. 3/05  USO, GOCE Y POSECION",,,,,,,,0
542,"MUEBLES TUBULARES BETA, S.A. DE C.V.",,,,,,,,0
543,ACTA DE REPOSICION,,,,,,,,0
544,"MONTACARGAS DEL VALLE DE MEXICO, S.A. DE",,,,,,,,0
545,AP. ELECTROMECANICOS VON HAUCKE SA DE CV,,,,,,,,0
546,"ABASTECEDORA EDUCATIVA DEL CENTRO, S.A.",,,,,,,,0
547,"PAPELERIA LA EXPOSICION, S.A. DE C.V.",,,,,,,,0
548,"CODINSA ELECTROMECANICA, S.A. DE C.V.",,,,,,,,0
549,"DITELCOM, S.A. DE C.V.",,,,,,,,0
550,"INGENIERIA E INTEG. DIGITAL, S.A. DE C.V",,,,,,,,0
551,"SIST. Y COMPUTADORES DIGITALES, SA DE CV",,,,,,,,0
552,"SELL AND SERVICE, S.A. DE C.V.",,,,,,,,0
553,"IMPERIO AUTOMOTRIZ DEL ORIENTE, S.A. DE C.V.",,,,,,,,0
554,"COMERCIALICADORA LA MERCED DE REVOLUCION, S.A. DE C..V.",,,,,,,,0
555,INDUSTRIAS DE LA TELEFONIA Y COMUNICACION DE XALAPA,CALLE NORTE 8 No. 23,"XALAPA, VER.",91130,LUVG540325JN1,8142572,,,0
556,"GRUPO COMERCIAL HIA, S.A. DE C.V.",,,,,,,,0
557,"DIZAR, S.A. DE C.V.",,,,,,,,0
558,EL HOGAR ELECTRICO DE REVOLUCION S.A DE C.V.,,,,,,,,0
559,CESAR JESUS VAZQUEZ GARCIA,,,,,,,,0
560,"VILLAUTOS, S.A DE C.V.",FERROCARRIL HIDALGO No. 982 COL. GUSTAVO,"MEXICO, D.F.",7050,VIL-940606-9W1,57811085 Y 57815070,57815315,,0
561,MUNDO INDUSTRIAL,,,,,,,,0
562,"RACKS Y LAMINADOS DE MEXICO,S.A DE C.V.",,,,,,,,0
563,"COMERCIO Y EQUIPO, S.A. DE C.V.",,,,,,,,0
564,"SUZUKA MOTORS, S.A. DE.C.V.",,,,,,,,0
565,"TED TELECOMUNICACIONES, S.A. DE C.V.",,,,,,,,0
566,"OFICINAS ESCOLARES DE MEXICO, S.A. DE C.V.",,,,,,,,0
567,THE HOME DEPOT MEXICO S. DE R.L. DE C.V.,,,,,,,,0
568,"INGENIERIA, DISEÑOS Y PROYECTOS",,,,,,,,0
569,"IDEALIDAD GRAFICA, S.A. DE C.V.",,,,,,,,0
570,"MOBILIARIO, S.A. DE C.V.",,,,,,,,0
571,"MULTISISTEMAS, S.A. DE C.V.",,,,,,,,0
572,"EUROVIRAMA, S.A. DE C.V.",,,,,,,,0
573,"GRUPO PAPELERO RUIZ, S.A. DE C.V.",AV. M. DOMINGO REYES No. 16,"COSCOMATEPEC,VER.",94140,GPR030310885,2737371047,,,0
574,COMPUTADORAS TECNOLOGIA AVANZADA,ALTAMIRANO No. 2,"PEROTE,VER.",91270,VEOC840125MVZGR,,,,0
575,CASETAS Y CAMPERS GUERRERO,VICENTE GUERRERO No. 288,"XICO,VER.",,PEME710728UJ3,8130855,,PEREDO MONTEMIRA ENRIQUE,0
576,"SURMAN MEXICO, S.A. DE C.V.",DR. JESUS VALENZUELA No. 25,DELEGACION CUAUHTEMOC,6720,SME-050105-T059,9179-0350,,,0
